,clouds,date,humidity,lat,location,lon,pressure,temp,type,userId,visibility,weatherCond,windDeg,windSpeed,zipcode,device,zip
4B19FF9D-C314-4E56-839B-664AAB3317FF,1,2017-09-01T14:19:25.693Z,41,41.2,West Haverstraw,-73.99,1020,59.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,330.0,16.0,,IOS,
4B861D69-A0B0-409E-AF22-ECA05FBFB9A6,20,2017-10-25T12:01:35.495Z,87,41.2,West Haverstraw,-73.99,1006,53.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,320.0,8.0,,IOS,
4C27ACAB-F733-42F8-BE59-7E6603AAC078,1,2017-12-13T12:40:33.781Z,48,40.9,Englewood Cliffs,-73.93,1001,19.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,300.0,18.0,07670,IOS,
4D712291-C08D-4573-9C02-E0986ED1A7B7,1,2017-10-31T15:50:05.356Z,37,40.73,New York,-73.99,1018,52.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,0.0,5.0,10003,IOS,
4DAE3DF9-A8E7-4AF7-88CF-48BFE86D05E4,1,2018-01-03T12:53:17.458Z,56,41.11000061035156,Airmont,-74.12999725341797,1028,7.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,258.0010070800781,2.0,10901,IOS,
4E53E0F5-332E-4729-9BA5-36BC7302A19C,20,2017-09-13T14:58:24.978Z,64,41.2,West Haverstraw,-73.99,1014,69.0,1,6eUdqOHk4YhcgJo2CqkSv8PI7ZF3,16093,,300.0,3.0,10923,IOS,
5089682B-006B-4296-8498-3DBA3655870B,75,2017-06-19T12:04:04.784Z,78,40.94,Yonkers,-73.9,1011,76.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,201.518,12.0,10701,IOS,
50DBD6A0-B745-4058-B52A-F06B02C138A7,1,2017-11-15T13:33:42.764Z,69,41.2,West Haverstraw,-73.99,1026,32.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,10.0,5.0,10923,IOS,
5260A45E-559B-4486-A88E-90DD2E543DC0,90,2017-07-25T13:22:45.976Z,82,40.73,Hoboken,-74.04,1019,64.0,1,DvGx1A7L7wNN9Han9GjEm08Mb7t2,16093,,40.0,4.0,,IOS,
52AF776B-EDC9-4997-896C-B5574D5CD052,1,2017-06-13T11:33:59.017Z,64,40.76,Weehawken,-74.0,1015,72.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,258.001,2.0,10018,IOS,
52E49776-27FB-4DC5-BCA3-21EB45CC1508,1,2017-08-09T11:42:16.659Z,72,41.2,West Haverstraw,-73.99,1022,60.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,256.5,2.0,10923,IOS,
53BD4AE5-CAD6-4706-8959-873CA7D50CCA,90,2017-09-26T11:45:25.839Z,93,41.2,West Haverstraw,-73.99,1018,65.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,402,,0.0,3.0,10923,IOS,
54CE0E90-3316-4B56-8907-04E170964F81,75,2017-05-29T04:07:33.984Z,77,41.11,Suffern,-74.14,1014,60.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,110.0,6.0,,IOS,
5552FA54-EF11-4888-977E-1B88A0B62E77,20,2017-07-12T11:08:40.282Z,94,41.16,Ossining,-73.87,1016,71.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,8047,,217.501,3.0,,IOS,
5644fde0-c2e9-11e7-a156-5d8d1afbe51f,90,2017-11-06T11:55:08.862Z,88,41.2,Haverstraw,-73.97,1011,61.59,1,,16093,,200.0,9.17,,Alexa,
59A22453-FB78-44C8-BCF1-884D88C17FB1,90,2017-12-18T12:28:54.544Z,86,41.08,Tarrytown,-73.86,1020,31.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,48.0181999206543,6.0,,IOS,
5B612FF5-0ABA-46DF-BFA6-6B18E9416A06,75,2017-11-20T15:45:27.801Z,45,40.71,New York,-74.01,1018,40.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,300.0,17.0,10002,IOS,
5B9E941C-A111-4441-829C-36F2E2042CB3,1,2017-11-11T21:42:28.464Z,34,41.7,Arlington,-73.9,1033,32.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,10.0,6.0,12603,IOS,
5C46ADF1-7559-4D9D-ABF0-B9CA25D2AFDB,20,2017-12-29T16:18:32.716Z,56,41.09,West Nyack,-73.97,1024,15.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,300.0,8.0,,IOS,
5E4AFF11-6850-4CCB-96BA-EA1CBD38787C,1,2017-08-28T11:45:51.930Z,77,40.84,Bronx,-73.93,1026,59.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,55.50490188598633,6.0,10452,IOS,
5EAB2CF1-715A-4D6C-BE97-A9B3F975FA2F,1,2017-10-20T11:39:16.127Z,76,41.2,West Haverstraw,-73.99,1019,50.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,230.0,3.0,10923,IOS,
5c4bf7c0-e689-11e7-8777-fd0da64a37b6,1,2017-12-21T19:58:49.149Z,40,41.2,Haverstraw,-73.97,1021,38.12,1,,16093,,280.0,9.17,10927,Alexa,
5d925800-ee6c-11e7-bf44-8ba7144802f5,75,2017-12-31T20:51:25.185Z,47,41.2,Haverstraw,-73.97,1023,13.53,1,,16093,,320.0,18.34,10927,Alexa,
5daa3c50-0b35-11e8-b1d2-5dcd230ca1f3,75,2018-02-06T12:00:46.742Z,85,41.2,Haverstraw,-73.97,1027,23.68,1,,16093,,184.501,3.36,,Alexa,
5f159ad0-6ad1-11e7-908f-4b064f587a76,1,2017-07-17T09:21:53.405Z,87,47.63,Seattle,-122.35,1021,55.62,1,,16093,,20.0008,5.5,,Alexa,
60982040-b73d-11e7-885e-55d0e7cc0ef0,1,2017-10-22T15:26:29.957Z,40,41.2,Haverstraw,-73.97,1030,66.33,1,,16093,,150.0,5.82,10927,Alexa,
6116C39F-2B59-47DD-8A54-2380CA73675C,90,2017-05-28T01:16:40.949Z,82,41.11,Airmont,-74.13,1013,67.0,1,fvqRYUa0YRTqDmwPkLE7nn0YrLX2,16093,,0.00213623,2.0,10901,IOS,
615C478C-774C-4255-A39D-5629DFE43311,1,2017-09-02T14:01:33.523Z,76,41.2,West Haverstraw,-73.99,1025,56.0,1,6eUdqOHk4YhcgJo2CqkSv8PI7ZF3,16093,,70.0011,3.0,10923,IOS,
63473390-9955-11e7-aab1-9b08c52561c7,75,2017-09-14T14:02:47.498Z,88,41.2,Haverstraw,-73.97,1013,71.37,1,,3219,,180.0,3.36,,Alexa,
638105D6-F348-45AE-9FE9-1CBD0D60F049,90,2017-10-12T11:43:06.660Z,82,41.01,Dobbs Ferry,-73.88,1025,55.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,70.0,16.0,10522,IOS,
64308704-CADF-43F1-AB62-C81833F09FD1,40,2017-09-15T18:58:16.722Z,69,41.55,Hillside Lake,-73.78,1017,78.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,0.0,3.0,12533,IOS,
67ED43A9-4905-4B47-B213-E7B71B746190,20,2017-06-22T21:07:28.430Z,54,41.2,West Haverstraw,-73.99,1013,83.0,1,6eUdqOHk4YhcgJo2CqkSv8PI7ZF3,32186,,220.0,8.0,,IOS,
680c8f00-fd1a-11e7-94d0-2301fdccf346,20,2018-01-19T13:12:31.529Z,67,41.2,Haverstraw,-73.97,1017,17.78,1,,12874,,260.0,5.82,,Alexa,
69197290-516d-11e7-9098-6d44c9184f7c,5,2017-06-15T01:53:21.466Z,46,41.2,Garnerville,-74.0,1017,70.63,1,,16093,,51.502,1.79,10923,Alexa,
6C1A70C4-2C67-4A1F-8046-79121803B0BC,75,2017-12-05T12:32:18.859Z,81,41.01,Dobbs Ferry,-73.88,1025,50.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,150.0,9.0,,IOS,
6C4D6A53-8986-45A1-A185-0F1C8E273CCA,90,2017-05-30T13:10:11.539Z,87,40.71,New York,-74.01,1022,55.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,8047,,160.0,8.0,,IOS,
6EC7C1F2-EED6-43E8-A257-C585BA11BC29,40,2017-08-29T14:21:32.255Z,77,40.71,New York,-74.01,1024,65.0,1,KeAdoRGcxYfNNQeAfvMG5DFj5zB3,16093,,60.0,9.0,,IOS,
6ca3ae80-6086-11e7-be36-e17cbde4202e,90,2017-07-04T07:00:12.265Z,94,37.77,San Francisco,-122.41,1018,61.47,0,,16093,,140.0,4.7,,Alexa,
6e70e110-6ad1-11e7-908f-4b064f587a76,1,2017-07-17T09:22:19.169Z,87,47.63,Seattle,-122.35,1021,55.62,0,,16093,,20.0008,5.5,,Alexa,
6eb5f050-9f8a-11e7-b2a9-8d3ab17c1352,1,2017-09-22T11:37:37.018Z,100,41.2,Haverstraw,-73.97,1018,62.37,0,,9656,,200.0,3.36,,Alexa,
