"|","|__coffeechooser__base","|__coffeechooser__clouds__all","|__coffeechooser__cod","|__coffeechooser__coord__lat","|__coffeechooser__coord__lon","|__coffeechooser__device","|__coffeechooser__dt","|__coffeechooser__id","|__coffeechooser__main__humidity","|__coffeechooser__main__pressure","|__coffeechooser__main__temp","|__coffeechooser__main__temp_max","|__coffeechooser__main__temp_min","|__coffeechooser__name","|__coffeechooser__sys__country","|__coffeechooser__sys__id","|__coffeechooser__sys__message","|__coffeechooser__sys__sunrise","|__coffeechooser__sys__sunset","|__coffeechooser__sys__type","|__coffeechooser__visibility","|__coffeechooser__weather__description","|__coffeechooser__weather__icon","|__coffeechooser__weather__id","|__coffeechooser__weather__main","|__coffeechooser__wind__deg","|__coffeechooser__wind__gust","|__coffeechooser__wind__speed","|__clouds","|__date","|__device","|__humidity","|__lat","|__location","|__lon","|__pressure","|__temp","|__type","|__userId","|__visibility","|__weatherCond","|__windDeg","|__windSpeed"
"87AA456A-D18B-4D1D-A219-51AA40525881","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-11T02:26:20.771Z","","73","41.11","Suffern","-74.14","1017","74","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","227.001","4"
"883794BE-E950-408E-84F2-A4978BDB07B6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-17T23:01:32.880Z","","88","41.71","Arlington","-73.9","1014","71","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","0","5"
"890AB6D3-2F8C-4BBD-87A2-47E397594574","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-08-06T18:29:35.475Z","","46","41.2","West Haverstraw","-73.99","1019","73","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","300","6"
"8C3D31AF-D0FC-4556-8AE6-F437B471DB15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-08-28T11:45:54.466Z","","77","40.84","Bronx","-73.93","1026","59","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","55.50490188598633","6"
"8D5449E4-0499-4846-8313-AC392C6C74A9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-07-27T10:56:33.303Z","","100","41.2","West Haverstraw","-73.98","1018","62","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","218.504","3"
"8D7ADCA3-F94D-4F69-B1E9-04343BF86178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-02T12:05:28.240Z","","55","41.11","Airmont","-74.13","1016","55","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","255","3"
"8f745320-8ca4-11e7-ac04-c565305c02d6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-08-29T10:26:46.775Z","Alexa","87","41.2","Haverstraw","-73.97","1024","60.58","1","","16093","","50","8.05"
"90608950-BDF1-4956-AA0B-B803EA32407F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-07-31T01:39:44.164Z","","68","41.12","Valley Cottage","-73.94","1017","70","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","14.0082","2"
"964B283F-0754-4AF3-8384-5B51C78AD61D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-24T17:50:12.583Z","","35","40.67","Bayonne","-74.12","1007","83","1","DvGx1A7L7wNN9Han9GjEm08Mb7t2","16093","","320","24"
"979EFC45-30BF-47E3-ADC6-DB9DD4424631","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-09-02T14:01:06.579Z","","76","41.2","West Haverstraw","-73.99","1025","56","1","6eUdqOHk4YhcgJo2CqkSv8PI7ZF3","16093","","70.0011","3"
"97F9D10E-7E34-46E4-BCB0-9992746A53CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-06-17T17:32:48.562Z","","73","41.48","Beacon","-73.97","1013","72","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","88.0041","3"
"9909925B-8595-4293-B945-748EECBCCCE7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-07-12T03:16:59.309Z","","78","41.2","West Haverstraw","-73.99","1014","75","2","6eUdqOHk4YhcgJo2CqkSv8PI7ZF3","16093","","239","2"
"A06AA9D4-2901-4FDA-9785-1DD70CC92AC7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-06-08T02:15:22.642Z","","87","37.34","San Jose","-121.89","1015","64","1","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","11265","","170","4"
"A1D65FC4-2188-4097-8076-E1210C7535C1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","2017-05-28T17:24:08.473Z","","56","41.1","Nanuet","-74.01","1014","71","2","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","0","","0","5"
