,clouds,date,humidity,pressure,temp,type,visibility,windDeg,windSpeed,zipcode
174,90,2017-07-28T13:59:03.923Z,83,1012,74,0,16093,20,3,10993
175,1,2017-06-27T16:28:50.538Z,56,1015,71,1,16093,137.501,3,7310
176,40,2017-09-05T10:53:00.863Z,82,1010,65,0,16093,190,5,10927
178,1,2017-09-28T18:06:49.931Z,36,1007,75,0,16093,340,17,10923
179,40,2017-10-19T11:51:04.060Z,100,1024,44,1,11265,204.5010070800781,2,10923
181,1,2017-11-21T12:24:03.503Z,64,1020,34,1,16093,222.5010070800781,10,10591
183,90,2017-10-09T12:24:12.997Z,88,1017,73,1,14484,180,6,10923
184,1,2017-08-10T20:51:54.637Z,47,1023,81,0,16093,0,6,10016
185,1,2017-11-04T17:05:40.003Z,37,1026,53,1,16093,81.00039672851562,3,10970
187,90,2017-10-26T19:48:13.576Z,58,1006,55,1,16093,290,10,7747
188,90,2017-12-23T16:05:29.411Z,93,1014,37,1,3219,60,8,10591
191,1,2017-07-21T17:02:42.378Z,43,1012,86,0,16093,290,8,7446
193,90,2017-09-30T14:49:22.641Z,76,1021,53,1,16093,350,8,12603
194,1,2017-09-28T18:06:47.855Z,36,1007,75,1,16093,340,17,10923
196,1,2017-11-23T23:51:49.195Z,61,1016,35,1,16093,252.5030059814453,3,10989
197,1,2017-11-23T17:34:42.709Z,44,1018,38,1,16093,20,5,10524
199,1,2017-09-11T12:37:34.593Z,71,1029,56,1,16093,4.50124979019165,6,10002
200,90,2017-05-29T15:38:07.341Z,100,1014,56,1,4828,94.0007,3,7446
201,1,2017-06-27T16:43:08.962Z,56,1015,71,0,16093,195.50099999999998,6,10923
205,90,2017-09-16T20:06:55.415Z,100,1022,68,0,402,4.501830101013184,2,10923
208,90,2017-05-30T13:10:14.271Z,87,1022,55,0,8047,160,8,10002
209,75,2017-12-06T11:27:41.241Z,61,1012,46,1,16093,270,10,10923
212,90,2017-07-23T13:02:09.790Z,88,1008,73,1,6437,56.5027,5,10960
214,75,2017-07-24T04:01:02.327Z,83,1011,72,1,14484,130,6,10901
217,90,2017-12-17T22:15:17.978Z,63,1024,28,1,16093,30,3,12603
219,1,2017-09-25T10:48:24.214Z,100,1018,66,0,4023,63.00149917602539,1,10927
220,90,2017-05-28T20:57:54.860Z,73,1013,69,1,32186,140,11,10989
221,40,2017-07-08T19:15:57.889Z,51,1007,82,0,16093,280,14,10901
222,75,2017-12-16T16:17:55.192Z,58,1016,29,1,16093,260,11,10923
223,75,2017-12-17T18:30:00.205Z,58,1025,29,1,16093,345.5010070800781,1,12524
224,90,2017-07-04T07:01:58.944Z,94,1018,61.47,0,16093,140,4.7,94103
225,1,2017-12-10T16:53:42.184Z,59,1012,34.39,1,16093,280,9.17,10927
226,1,2017-11-14T11:48:09.158Z,80,1025,31.89,1,16093,350,8.05,10927
227,1,2017-08-31T14:21:34.086Z,60,1013,72.81,1,16093,300,12.75,10927
228,75,2017-07-01T19:51:51.018Z,78,1012,81.45,1,16093,198.505,6.71,10927
229,40,2017-07-04T13:21:49.508Z,49,1019,71.74,1,16093,360,9.17,10927
230,90,2017-09-13T11:50:28.157Z,100,1014,57.22,0,402,251,2.06,10927
233,1,2017-07-17T09:17:46.507Z,87,1021,55.62,0,16093,20.0008,5.5,98109
238,40,2017-07-15T17:27:30.621Z,57,1014,81.19,1,16093,290,10.29,10927
239,1,2017-07-18T14:39:20.123Z,88,1014,68.11,1,9656,339.5030000000001,1.86,90803
240,75,2017-12-14T15:24:41.731Z,73,1004,25.52,1,9656,350,6.93,10927
242,75,2017-06-23T21:57:16.049Z,78,1004,81.95,1,32186,240,8.05,10923
243,20,2017-12-28T15:22:54.120Z,43,1033,12.54,1,16093,320,21.92,10927
